Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
"Students will develop their oral presentation skills that enable them to express the concepts they develop, the data required to test the concept, and the outcomes and interpretations of the simulated exploration program;",,,,,,1
Students will gain an ability to integrate multiple large datasets to synthesise and interpret geological information.,,,,,,1
students will have a good grasp of key texts reflecting the intellectual debates,,,,,1,
Students will have acquired detailed knowledge of the main features of psychoanalytic theories,1,,,,,
students with little or no knowledge of Italian will learn some basic structure of the Italian language in everyday communication,1,,,,,
"Studied in depth some cases of cultural production and its local consumption, and critically analysed web-based and mass media material relating to these case studies;",,,,1,,
study the impact of regulations and codes in corporate governance and the viability of self-regulation in various jurisdictions,1,,,,,
study the operation of foreign exchange markets and alternative exchange rate systems,1,,,,,
Successfully demonstrate a 3D replication of a transportation design concept;,,,1,,,
"Successfully describe, and apply multivariate mathematics to problems in data science;",,,1,,,
Successfully undertake a variety of research and writing tasks;,,,,,1,
successfully use cultural norms of politeness in communications situations; ,,,1,,,
Suggest a rational drug therapy strategy to target a disease state with known pathophysiological causes;,,,,,,1
"Suggest and evaluate formulation approaches for drugs based on their physicochemical properties, physiological factors and medical considerations.",,,,,1,
Suggest directions for future research in their specialist area,,,,,1,
Suggest suitable model systems for pre-clinical drug toxicity studies. Themeslabel Pharmaceutical Science,,,,,,1
Summarise  the significance of dark matter to galactic structure;,,,,1,,
"Summarise (via writing and presentation) the deeper understanding and significance of the topic to peers, experts and the community at large;",,,,,1,
Summarise a management plan for the perioperative care of patients with cancer and with neurological and neuromuscular disorders.,,,,,,1
